origin,destination,estimate
South Carolina,Iowa,299.0
South Dakota,Iowa,2209.0
Tennessee,Iowa,1324.0
Texas,Iowa,3634.0
Utah,Iowa,99.0
Vermont,Iowa,99.0
Virginia,Iowa,1094.0
Washington,Iowa,1022.0
West Virginia,Iowa,0.0
Wisconsin,Iowa,3321.0
Wyoming,Iowa,343.0
Puerto Rico,Iowa,0.0
U.S. Island Area3,Iowa,958.0
Foreign Country,Iowa,16164.0
Alabama,Kansas,881.0
Alaska,Kansas,174.0
Arizona,Kansas,2365.0
Arkansas,Kansas,884.0
California,Kansas,3160.0
Colorado,Kansas,4591.0
Connecticut,Kansas,92.0
Delaware,Kansas,61.0
District of Columbia,Kansas,0.0
Florida,Kansas,2737.0
Georgia,Kansas,1737.0
Hawaii,Kansas,0.0
Idaho,Kansas,925.0
Illinois,Kansas,1906.0
Indiana,Kansas,846.0
Iowa,Kansas,1648.0
Kentucky,Kansas,969.0
Louisiana,Kansas,1643.0
Maine,Kansas,0.0
Maryland,Kansas,443.0
Massachusetts,Kansas,97.0
Michigan,Kansas,1369.0
Minnesota,Kansas,1478.0
Mississippi,Kansas,326.0
Missouri,Kansas,18573.0
Montana,Kansas,75.0
Nebraska,Kansas,3841.0
Nevada,Kansas,2049.0
New Hampshire,Kansas,320.0
New Jersey,Kansas,543.0
New Mexico,Kansas,267.0
New York,Kansas,1505.0
North Carolina,Kansas,494.0
North Dakota,Kansas,689.0
Ohio,Kansas,2050.0
Oklahoma,Kansas,3534.0
Oregon,Kansas,248.0
Pennsylvania,Kansas,1176.0
Rhode Island,Kansas,21.0
South Carolina,Kansas,218.0
South Dakota,Kansas,354.0
Tennessee,Kansas,1480.0
Texas,Kansas,7229.0
Utah,Kansas,131.0
Vermont,Kansas,0.0
Virginia,Kansas,1827.0
Washington,Kansas,980.0
West Virginia,Kansas,96.0
Wisconsin,Kansas,609.0
Wyoming,Kansas,497.0
Puerto Rico,Kansas,574.0
U.S. Island Area3,Kansas,133.0
Foreign Country,Kansas,20355.0
Alabama,Kentucky,1496.0
Alaska,Kentucky,549.0
Arizona,Kentucky,2484.0
Arkansas,Kentucky,373.0
California,Kentucky,5838.0
Colorado,Kentucky,1858.0
Connecticut,Kentucky,138.0
Delaware,Kentucky,0.0
District of Columbia,Kentucky,133.0
Florida,Kentucky,5243.0
Georgia,Kentucky,3491.0
Hawaii,Kentucky,1020.0
Idaho,Kentucky,610.0
Illinois,Kentucky,4407.0
Indiana,Kentucky,8310.0
Iowa,Kentucky,577.0
Kansas,Kentucky,502.0
